anio,generacion_kwh,ahorro_energia,mantenimiento,depreciacion,interes,amortizacion,cuota_credito,impuesto_proyecto,flujo_proyecto,flujo_recursos_propios,flujo_con_credito
0,0,0,0,0,0,0,0,0,-850000.0,-850000.0,-255000.0
1,1500000.0,114750.00000000001,12750.0,38250.0,41114.5,103650.94161380298,144765.44161380298,15937.500000000004,86062.50000000001,86062.50000000001,-48424.31661380296
2,1492500.0,116459.77500000002,13005.0,38250.0,33952.21993448621,110813.22167931678,144765.44161380298,16301.193750000006,87153.58125000002,87153.58125000002,-49123.80538018141
3,1485037.5,118195.02564749999,13265.1,38250.0,26295.026316445423,118470.41529735755,144765.44161380298,16669.981411874996,88259.944235625,88259.944235625,-49931.74079906664
4,1477612.3125,119956.13152964778,13530.402000000002,38250.0,18108.720619398016,126656.72099440495,144765.44161380298,17043.932382411946,89381.79714723583,89381.79714723583,-50856.46431171763
5,1470224.2509375,121743.47788943951,13801.01004,38250.0,9356.741198684636,135408.70041511834,144765.44161380298,17423.11696235988,90519.35088707964,90519.35088707964,-51906.905427052174
6,1462873.1296828124,123557.45570999217,14077.0302408,38250.0,0,0,0,17807.60636729804,91672.81910189413,91672.81910189413,91672.81910189413
7,1455558.7640343984,125398.46180007105,14358.570845616001,38250.0,0,0,0,18197.47273861376,92842.41821584129,92842.41821584129,92842.41821584129
8,1448280.9702142263,127266.8988808921,14645.74226252832,38250.0,0,0,0,18592.789154590944,94028.36746377283,94028.36746377283,94028.36746377283
9,1441039.5653631552,129163.17567421742,14938.657107778889,38250.0,0,0,0,18993.629641609634,95230.8889248289,95230.8889248289,95230.8889248289
10,1433834.3675363394,131087.70699176326,15237.430249934467,38250.0,0,0,0,19400.0691854572,28450.207556371606,28450.207556371606,28450.207556371606
11,1426665.1956986578,133040.91382594054,15542.178854933156,38250.0,0,0,0,19812.183742751848,97686.55122825554,97686.55122825554,97686.55122825554
12,1419531.8697201645,135023.22344194702,15853.02243203182,38250.0,0,0,0,20230.0502524788,98940.1507574364,98940.1507574364,98940.1507574364
13,1412434.2103715637,137035.06947123204,16170.082880672455,38250.0,0,0,0,20653.746647639895,100211.23994291968,100211.23994291968,100211.23994291968
14,1405372.039319706,139076.89200635342,16493.484538285906,38250.0,0,0,0,21083.351867016878,101500.05560105064,101500.05560105064,101500.05560105064
15,1398345.1791231073,141149.13769724805,16823.354229051623,38250.0,0,0,0,21518.945867049108,102806.83760114733,102806.83760114733,102806.83760114733
16,1391353.4532274918,143252.2598489371,17159.821313632656,38250.0,0,0,0,21960.609633826112,104131.82890147834,104131.82890147834,104131.82890147834
17,1384396.6859613543,145386.71852068623,17503.01773990531,38250.0,0,0,0,22408.425195195232,105475.2755855857,105475.2755855857,105475.2755855857
18,1377474.7025315475,147552.98062664448,17853.078094703418,38250.0,0,0,0,22862.475632985264,106837.42689895579,106837.42689895579,106837.42689895579
19,1370587.3290188897,149751.52003798148,18210.139656597486,38250.0,0,0,0,23322.845095345998,108218.535286038,108218.535286038,108218.535286038
20,1363734.3923737952,151982.81768654738,18574.342449729436,38250.0,0,0,0,23789.618809204483,194618.85642761344,194618.85642761344,194618.85642761344
