variable,cambio,valor_variable,van,tir
inversion_inicial,-0.2,680000.0,109002.36029907469,0.12148497939515479
inversion_inicial,-0.1,765000.0,21472.272828886154,0.10384447748152092
inversion_inicial,0,850000.0,-66057.8146413024,0.08914213127682113
inversion_inicial,0.1,935000.0000000001,-153587.90211149104,0.07662767773416024
inversion_inicial,0.2,1020000.0,-241117.98958167946,0.06579545559417543
generacion_primer_anio,-0.2,1200000.0,-227906.42665341904,0.0608950764138082
generacion_primer_anio,-0.1,1350000.0,-146982.1206473607,0.07534857017358998
generacion_primer_anio,0,1500000.0,-66057.8146413024,0.08914213127682113
generacion_primer_anio,0.1,1650000.0000000002,14866.491364756052,0.10240007690359743
generacion_primer_anio,0.2,1800000.0,95790.7973708142,0.11521755098018704
tarifa_energia,-0.2,0.068,-227906.426653419,0.0608950764138082
tarifa_energia,-0.1,0.07650000000000001,-146982.12064736063,0.07534857017358998
tarifa_energia,0,0.085,-66057.8146413024,0.08914213127682113
tarifa_energia,0.1,0.09350000000000001,14866.491364755942,0.10240007690359743
tarifa_energia,0.2,0.10200000000000001,95790.7973708142,0.11521755098018704
porcentaje_autoconsumo,-0.1,0.8,-155973.7102035894,0.07377783720141118
porcentaje_autoconsumo,-0.05,0.85,-111015.76242244593,0.08155232620241903
porcentaje_autoconsumo,0,0.9,-66057.8146413024,0.08914213127682113
porcentaje_autoconsumo,0.05,0.9500000000000001,-21099.866860158905,0.09656713207064971
porcentaje_autoconsumo,0.1,1.0,23858.08092098457,0.10384447748152092
tasa_descuento_base,-0.020000000000000004,0.08,62803.5422627134,0.08914213127682113
tasa_descuento_base,0.0,0.1,-66057.8146413024,0.08914213127682113
tasa_descuento_base,0.01999999999999999,0.12,-167795.49947197255,0.08914213127682113
tasa_descuento_base,0.04000000000000001,0.14,-249232.18036969952,0.08914213127682113
