seccion,concepto,valor
proyeccion_anio_1,periodo,1
proyeccion_anio_1,fcfe_proyectado,9850629.94721049
proyeccion_anio_1,factor_descuento,0.8888888888888888
proyeccion_anio_1,valor_presente,8756115.508631548
proyeccion_anio_2,periodo,2
proyeccion_anio_2,fcfe_proyectado,10146148.845626805
proyeccion_anio_2,factor_descuento,0.7901234567901234
proyeccion_anio_2,valor_presente,8016710.1990137715
proyeccion_anio_3,periodo,3
proyeccion_anio_3,fcfe_proyectado,10450533.310995609
proyeccion_anio_3,factor_descuento,0.7023319615912208
proyeccion_anio_3,valor_presente,7339743.559985942
proyeccion_anio_4,periodo,4
proyeccion_anio_4,fcfe_proyectado,10764049.31032548
proyeccion_anio_4,factor_descuento,0.6242950769699741
proyeccion_anio_4,valor_presente,6719942.992698242
proyeccion_anio_5,periodo,5
proyeccion_anio_5,fcfe_proyectado,11086970.789635243
proyeccion_anio_5,factor_descuento,0.5549289573066436
proyeccion_anio_5,valor_presente,6152481.139981501
metricas,utilidad_neta_promedio_2023_2025,13662454.850499988
metricas,fcfe_normalizado,9563718.39534999
metricas,valor_presente_flujos_explicitos,36984993.40031101
metricas,valor_terminal,107702001.95645666
metricas,valor_presente_terminal,59766959.64553459
metricas,valor_patrimonio_por_fcfe,96751953.0458456
metricas,patrimonio_contable_2025,163042838.46
metricas,ajuste_inventarios,12762312.917000001
metricas,ajuste_cuentas_cobrar,5294087.7885
metricas,valor_contable_ajustado,144986437.7545
metricas,diferencia_metodos,48234484.7086544
